"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-08","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.0","","","","1"
"2014-09","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.0","","","","1"
"2014-10","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.8","","","","1"
"2014-11","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.7","","","","1"
"2014-12","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.7","","","","1"
"2015-01","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.7","","","","1"
"2015-02","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.7","","","","1"
"2015-03","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.7","","","","1"
"2015-04","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.8","","","","1"
"2015-05","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.8","","","","1"
"2015-06","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.8","","","","1"
"2015-07","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.8","","","","1"
"2015-08","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","6.9","","","","1"
"2015-09","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.0","","","","1"
"2015-10","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.0","","","","1"
"2015-11","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.0","","","","1"
"2015-12","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.1","","","","1"
"2016-01","Canada","2016A000011124","Unemployment rate","Estimate","Seasonally adjusted","Percentage","242","units","0","v91445772","1.5.1.1","7.1","","","","1"
