"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.71","","","","2"
"2016","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.71","","","","2"
"2017","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.83","","","","2"
"2018","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.78","","","","2"
"2019","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489195","30.2","1.80","","","","2"
"2015","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.37","","","","2"
"2016","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.58","","","","2"
"2017","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","1.51","","","","2"
"2018","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","2.31","","","","2"
"2019","Toronto, Ontario","2011S0503535","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489137","1.2","2.03","","","","2"
"2015","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.18","","","","2"
"2016","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.02","","","","2"
"2017","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.10","","","","2"
"2018","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.11","","","","2"
"2019","Montréal, Quebec","2011S0503462","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489139","2.2","1.05","","","","2"
"2015","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.85","","","","2"
"2016","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.59","","","","2"
"2017","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.99","","","","2"
"2018","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.66","","","","2"
"2019","Vancouver, British Columbia","2011S0503933","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1489141","3.2","1.52","","","","2"
