"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","13619.0","","","","1"
"2006/2007","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","32679.0","","","","1"
"2006/2007","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","416.8","","","","1"
"2006/2007","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","280.3","","","","1"
"2006/2007","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","510.3","","","","1"
"2006/2007","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","549.3","","","","1"
"2006/2007","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","92.2","","","","1"
"2006/2007","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","137.9","","","","1"
"2006/2007","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","668.3","","","","1"
"2006/2007","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","397.5","","","","1"
"2006/2007","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","937.0","","","","1"
"2006/2007","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","424.2","","","","1"
"2006/2007","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","428.2","","","","1"
"2006/2007","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","744.9","","","","1"
"2006/2007","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","574.8","","","","1"
"2006/2007","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","3485.8","","","","1"
"2006/2007","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","7652.9","","","","1"
"2006/2007","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","455.5","","","","1"
"2006/2007","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","4098.2","","","","1"
"2006/2007","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","12700.3","","","","1"
"2006/2007","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","322.7","","","","1"
"2006/2007","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","368.9","","","","1"
"2006/2007","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1183.9","","","","1"
"2006/2007","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","311.6","","","","1"
"2006/2007","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","346.8","","","","1"
"2006/2007","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","993.3","","","","1"
"2006/2007","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","349.2","","","","1"
"2006/2007","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","1403.4","","","","1"
"2006/2007","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3453.7","","","","1"
"2006/2007","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","406.3","","","","1"
"2006/2007","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2484.5","","","","1"
"2006/2007","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4258.2","","","","1"
"2006/2007","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","583.5","","","","1"
"2006/2007","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","108.8","","","","1"
"2006/2007","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","32.4","","","","1"
"2006/2007","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3360.7","","","","1"
"2006/2007","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","99.3","","","","1"
"2006/2007","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.2","","","","1"
"2006/2007","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","2298.3","","","","1"
"2006/2007","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","25.2","","","","1"
"2006/2007","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","30.9","","","","1"
"2006/2007","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","816.1","","","","1"
"2007/2008","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","16749.8","","","","1"
"2007/2008","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","33001.1","","","","1"
"2007/2008","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","507.6","","","","1"
"2007/2008","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","305.0","","","","1"
"2007/2008","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","510.2","","","","1"
"2007/2008","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","597.8","","","","1"
"2007/2008","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","106.4","","","","1"
"2007/2008","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","138.0","","","","1"
"2007/2008","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","770.5","","","","1"
"2007/2008","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","356.8","","","","1"
"2007/2008","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","935.3","","","","1"
"2007/2008","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","381.5","","","","1"
"2007/2008","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","925.9","","","","1"
"2007/2008","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","746.1","","","","1"
"2007/2008","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","1241.0","","","","1"
"2007/2008","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","4139.4","","","","1"
"2007/2008","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","7713.0","","","","1"
"2007/2008","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","536.7","","","","1"
"2007/2008","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","5058.8","","","","1"
"2007/2008","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","12806.6","","","","1"
"2007/2008","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","395.0","","","","1"
"2007/2008","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","511.3","","","","1"
"2007/2008","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1191.7","","","","1"
"2007/2008","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","429.1","","","","1"
"2007/2008","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","439.4","","","","1"
"2007/2008","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1007.3","","","","1"
"2007/2008","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","436.2","","","","1"
"2007/2008","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","1937.9","","","","1"
"2007/2008","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3533.3","","","","1"
"2007/2008","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","548.5","","","","1"
"2007/2008","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2726.2","","","","1"
"2007/2008","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4312.0","","","","1"
"2007/2008","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","632.2","","","","1"
"2007/2008","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","96.3","","","","1"
"2007/2008","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","32.7","","","","1"
"2007/2008","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","2948.6","","","","1"
"2007/2008","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","98.9","","","","1"
"2007/2008","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.3","","","","1"
"2007/2008","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","2286.7","","","","1"
"2007/2008","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","47.6","","","","1"
"2007/2008","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","31.6","","","","1"
"2007/2008","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1508.1","","","","1"
"2008/2009","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","16855.9","","","","1"
"2008/2009","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","33371.8","","","","1"
"2008/2009","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","505.1","","","","1"
"2008/2009","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","409.2","","","","1"
"2008/2009","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","513.4","","","","1"
"2008/2009","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","797.0","","","","1"
"2008/2009","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","114.0","","","","1"
"2008/2009","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","139.5","","","","1"
"2008/2009","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","817.3","","","","1"
"2008/2009","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","408.1","","","","1"
"2008/2009","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","937.0","","","","1"
"2008/2009","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","435.5","","","","1"
"2008/2009","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","533.0","","","","1"
"2008/2009","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","747.8","","","","1"
"2008/2009","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","712.8","","","","1"
"2008/2009","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","5335.1","","","","1"
"2008/2009","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","7786.4","","","","1"
"2008/2009","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","685.2","","","","1"
"2008/2009","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","4084.0","","","","1"
"2008/2009","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","12926.6","","","","1"
"2008/2009","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","315.9","","","","1"
"2008/2009","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","540.8","","","","1"
"2008/2009","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1199.6","","","","1"
"2008/2009","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","450.8","","","","1"
"2008/2009","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","598.7","","","","1"
"2008/2009","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1022.5","","","","1"
"2008/2009","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","585.5","","","","1"
"2008/2009","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2330.4","","","","1"
"2008/2009","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3619.3","","","","1"
"2008/2009","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","643.9","","","","1"
"2008/2009","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2224.0","","","","1"
"2008/2009","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4371.3","","","","1"
"2008/2009","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","508.8","","","","1"
"2008/2009","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","107.6","","","","1"
"2008/2009","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","33.3","","","","1"
"2008/2009","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","3231.6","","","","1"
"2008/2009","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","125.2","","","","1"
"2008/2009","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.3","","","","1"
"2008/2009","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","2891.8","","","","1"
"2008/2009","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","45.8","","","","1"
"2008/2009","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","32.0","","","","1"
"2008/2009","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1434.0","","","","1"
"2009/2010","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","15695.9","","","","1"
"2009/2010","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","33756.7","","","","1"
"2009/2010","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","465.0","","","","1"
"2009/2010","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","444.9","","","","1"
"2009/2010","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","519.0","","","","1"
"2009/2010","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","857.4","","","","1"
"2009/2010","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","124.6","","","","1"
"2009/2010","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","140.6","","","","1"
"2009/2010","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","885.9","","","","1"
"2009/2010","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","420.9","","","","1"
"2009/2010","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","940.5","","","","1"
"2009/2010","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","447.5","","","","1"
"2009/2010","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","559.8","","","","1"
"2009/2010","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","751.1","","","","1"
"2009/2010","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","745.3","","","","1"
"2009/2010","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","4606.3","","","","1"
"2009/2010","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","7871.4","","","","1"
"2009/2010","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","585.2","","","","1"
"2009/2010","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","2521.4","","","","1"
"2009/2010","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13046.8","","","","1"
"2009/2010","Ontario","2016A000235","Per capita transport expenditures","Dollars","81","units ","0","v123220293","7.3","193.3","","","","1"
"2009/2010","Manitoba","2016A000246","Transport expenditures","Dollars","81","millions","6","v123220294","8.1","662.2","","","","1"
"2009/2010","Manitoba","2016A000246","Population","Persons","249","thousands","3","v123220295","8.2","1211.9","","","","1"
"2009/2010","Manitoba","2016A000246","Per capita transport expenditures","Dollars","81","units ","0","v123220296","8.3","546.4","","","","1"
"2009/2010","Saskatchewan","2016A000247","Transport expenditures","Dollars","81","millions","6","v123220297","9.1","574.7","","","","1"
"2009/2010","Saskatchewan","2016A000247","Population","Persons","249","thousands","3","v123220298","9.2","1039.5","","","","1"
"2009/2010","Saskatchewan","2016A000247","Per capita transport expenditures","Dollars","81","units ","0","v123220299","9.3","552.9","","","","1"
"2009/2010","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","3160.1","","","","1"
"2009/2010","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3694.5","","","","1"
